disease,gt_codes,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires,eval_mode
AtrialEnlargement,"BAE,LAE,RAE",588,21211,0,0,588,21211,0.0,1.0,0.0,0.9730262856094316,0.0,0.9730262856094316,0.5,0.013486857195284188,0.026973714390568376,0.0,0,measurements_only_no_flags
AtrialFlutter,FLUT,151,21648,0,0,151,21648,0.0,1.0,0.0,0.9930730767466398,0.0,0.9930730767466398,0.5,0.003463461626680123,0.006926923253360246,0.0,0,measurements_only_no_flags
BiventricularHypertrophy,BIVH,16,21783,0,0,16,21783,0.0,1.0,0.0,0.9992660213771274,0.0,0.9992660213771274,0.5,0.0003669893114363044,0.0007339786228726088,0.0,0,measurements_only_no_flags
EctopicAtrialRhythm,"EABRAD,EAR,EATACH",68,21731,0,0,68,21731,0.0,1.0,0.0,0.9968805908527915,0.0,0.9968805908527915,0.5,0.0015597045736042937,0.0031194091472085874,0.0,0,measurements_only_no_flags
Ectopy,"ABER,PAC,PSVC,PVC",2260,19539,0,0,2260,19539,0.0,1.0,0.0,0.896325519519244,0.0,0.896325519519244,0.5,0.051837240240378,0.103674480480756,0.0,0,measurements_only_no_flags
ElectrodeReversals,ARM,23,21776,0,0,23,21776,0.0,1.0,0.0,0.9989449057296206,0.0,0.9989449057296206,0.5,0.0005275471351896876,0.0010550942703793753,0.0,0,measurements_only_no_flags
JunctionalRhythm,"JR,JTACH,JUNBRAD,JUNCT-R",135,21664,0,0,135,21664,0.0,1.0,0.0,0.9938070553695124,0.0,0.9938070553695124,0.5,0.0030964723152438183,0.006192944630487637,0.0,0,measurements_only_no_flags
NonspecificIVCB,"IVCB,IVCD",311,21488,0,0,311,21488,0.0,1.0,0.0,0.9857332905179137,0.0,0.9857332905179137,0.5,0.0071333547410431675,0.014266709482086335,0.0,0,measurements_only_no_flags
Pacing,"APR,ASVPR,AVDPR,VPR",222,21577,0,0,222,21577,0.0,1.0,0.0,0.9898160466076426,0.0,0.9898160466076426,0.5,0.005091976696178724,0.010183953392357448,0.0,0,measurements_only_no_flags
PRInterval,"FAV,SPR",1343,20456,0,0,1343,20456,0.0,1.0,0.0,0.9383916693426304,0.0,0.9383916693426304,0.5,0.030804165328684803,0.061608330657369606,0.0,0,measurements_only_no_flags
