disease,variant,fires,fire_rate
STDepressionIschemia,Junctional_ST_Depression,879,0.04032295059406395
STDepressionIschemia,Lateral_Subendocardial,791,0.0362860681682646
STDepressionIschemia,Inferior_Subendocardial,505,0.023166200284416717
STDepressionIschemia,Anterior_Subendocardial,300,0.013762099178861415
STDepressionIschemia,Septal_Subendocardial,90,0.004128629753658425
STElevationInjury,Anterior_STEMI,678,0.031102344144226798
STElevationInjury,Inferior_STEMI,177,0.008119638515528235
STElevationInjury,Lateral_STEMI,42,0.0019266938850405983
STElevationMechanismUnknown,SERYR1_STJ_two_leads_over_0p10,2104,0.09651818890774806
SinusArrhythmia,SAR_stub,0,0.0
SinusArrhythmia,MSAR_stub,0,0.0
SinusRhythm,NormalSinusRhythm,15145,0.6947566402128538
SinusRhythm,SinusBradycardia,3367,0.1544566264507546
SinusRhythm,SinusTachycardia,951,0.04362585439699069
SinusRhythm,MarkedSinusBradycardia,103,0.004724987384742419
TWaveIschemia,Lateral_T_Inversion,2331,0.1069315106197532
TWaveIschemia,Anterior_T_Inversion,824,0.037799899077939354
TWaveIschemia,Inferior_T_Inversion,810,0.03715766778292582
TWaveIschemia,Lateral_T_Inversion_Marked,117,0.005367218679755952
TWaveIschemia,Anterior_T_Inversion_Marked,115,0.005275471351896876
TWaveIschemia,Inferior_T_Inversion_Marked,2,9.17473278590761e-05
UndeterminedRhythm,WideQRSRhythm,1917,0.08793981375292445
UndeterminedRhythm,WideQRSTachycardia,48,0.0022019358686178265
UndeterminedRhythm,IdioventricularRhythm,10,0.00045873663929538053
UndeterminedRhythm,SVT,0,0.0
WPW,WPW_PR_proxy,50,0.002293683196476903
